Ext.ID	Museum	Sampling.date	Catalogue.accession	Species	Collection.notes	Sex	Age	Year	Country	Region	Locality	Oral.health	Appearance	Sampling.comments	Ext.Date	Sample.weight.g.	Pigmented_extract	Qubit.concentration.ng.ul.	LP.date	Extract.vol.used	LP.copies	Ind.date	LP.vol.used	Ind.cycles	Ind.copies	Pool	Pooled.volume.ul.	Instrument.model	Common.name	habitat.general	order	Species_Lintulaakso_et_al	diet_cluster_name	diet_quality	cp	ee	cf	ash	nfe	calculated_species_main_diet	raw_count	unmapped_count	mapped_count	host_count	human_count	unmapped_avlength	mapped_avlength	p_Sediment.Soil	p_Skin	p_aOral	p_mOral	p_Unknown	classified	unclassified	Bacteria	Archaea	Eukaryota	Viruses	species_raw	is.blank	failed.repeated	combined.sample	Sample.weight.ug	DNA_input_ng	libraries_input_copies	theor_ind_copies
LB_27		NA		Library blank											NA	NA	FALSE	0.049	20230912	NA	37600	20230920_8-8	12	11	25400000	Pool C	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	451200	924057600
LB_28		NA		Library blank											NA	NA	FALSE	0.049	20230914	NA	40300	20230920_remainder	12	11	1.4e+10	Pool A	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	483600	990412800
LB_3		NA		Library blank	 										NA	NA	FALSE	0.049	20230619	NA	4350	20230622	18	11	38900000	Pool D	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	78300	160358400
LB_4		NA		Library blank	 										NA	NA	FALSE	0.049	20230620	NA	24800	20230622	18	11	42600000	Pool D	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	446400	914227200
LB_5		NA		Library blank											NA	NA	FALSE	0.049	20230628	NA	18100	20230724	18	11	20900000	Pool D	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	325800	667238400
LB_6		NA		Library blank											NA	NA	FALSE	0.049	20230629	NA	3670	20230906	12	11	1.97e+08	Pool D	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	44040	90193920
LB_7		NA		Library blank											NA	NA	FALSE	0.049	20230704	NA	3240	20230906	12	11	1.27e+08	Pool D	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	38880	79626240
LB_8		NA		Library blank											NA	NA	FALSE	0.049	20230706	NA	73500	20230818	18	11	5.29e+08	Pool B	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	1323000	2709504000
LB_9		NA		Library blank											NA	NA	FALSE	0.049	20230712	NA	2790	20230818	18	11	3.87e+08	Pool B	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	50220	102850560
MS_001	NMS	20230120	2003.160.2386	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT YY096	male	12 months 	1994	Scotland	St. Kilda	Hirta		metallic sheen		20230626	0.015	FALSE	6.7	20230628	20	252000	20230724	18	11	241000		NA		Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	15	134	4536000	9289728000
MS_002	NMS	20230120	2003.160.2233	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT SL014	male	35 months 	1986	Scotland	St. Kilda	Hirta				20230613	0.018	FALSE	0.313	20230619	20	294000	20230622	18	11	1630000		NA		Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	18	6.26	5292000	10838016000
MS_003	NMS	20230120	2003.160.2194	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT QQ043	female	age not known  	1992	Scotland	St. Kilda	Hirta				20230626	0.014	FALSE	3.9	20230628	20	256000	20230724	18	11	591000		NA		Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	14	78	4608000	9437184000
MS_004	NMS	20230120	2003.160.2740	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT OG060	female	131 months 	1995	Scotland	St. Kilda	Hirta				20230626	0.016	FALSE	14.3	20230628	20	7930000	20230905	12	11	1.49e+10	Pool B	3	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	8266500	7312459	171900	168968	2932	52.54	54.6	5.7	7.2	20.3	20.5	46.2	27.4	72.6	27.3	0	0.03	0	7519	FALSE	FALSE	FALSE	16	286	95160000	194887680000
MS_005	NMS	20230120	2003.160.1962	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT NR049	male	71 months 	1995	Scotland	St. Kilda	Hirta				20230626	0.019	FALSE	2.08	20230628	20	1850000	20230905	12	11	2.64e+10	Pool B	3	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	13491933	10119250	1950156	1946740	3416	65.71	77.22	11.7	5.2	17.6	17.7	47.8	21.1	78.9	20.9	0	0.15	0	8442	FALSE	FALSE	FALSE	19	41.6	22200000	45465600000
MS_009	NMS	20230120	2003.160.2678	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT NY122	female	11 months 	1986	Scotland	St. Kilda	Hirta				20230613	0.022	FALSE	4.67	20230619	20	2580000	20230622	18	11	9.3e+09	Pool C	4	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	5046141	3970184	291564	290192	1372	50.92	53.51	7.9	5.1	26.2	25.8	35	27.8	72.2	27.8	0	0.02	0	5832	FALSE	FALSE	FALSE	22	93.4	46440000	95109120000
MS_010	NMS	20230120	2003.160.1292	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT YL042	female	11 months 	1999	Scotland	St. Kilda	Hirta				20230723	0.019	TRUE	17.7	20230727	20	2.28e+09	20230905	12	11	46500000	Pool D	5	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	3050805	2336112	48099	47863	236	44.89	45.33	7.7	16.5	14.7	15.3	45.8	41.2	58.8	41.1	0	0.01	0	4670	FALSE	FALSE	FALSE	19	354	2.736e+10	5.603328e+13
MS_011	NMS	20230120	NT2261 NR GRANGE DELL PENICUIK 23/10/2010 K.P. BLAND	Meles meles	 										20230629	0.016	FALSE	53.2	20230831	4	1.27e+08	20230906	12	11	4.19e+10	Pool B	2	Illumina NovaSeq X Plus	European badger	Terrestrial	Carnivora	Meles meles	Vermivore-Carnivore	4.6	58.70442	13.25879	2.44115	11.42515	14.17059	Animalivore	7415125	6446591	337596	336055	1541	63.58	62.91	6	2.3	19.5	16.3	55.7	14.3	85.7	14.2	0	0.02	0	8469	FALSE	FALSE	FALSE	16	212.8	1.524e+09	3.121152e+12
MS_018	NMS	20230120	2/336 badger skull	Meles meles	 								caries lower right molar		20230629	0.019	FALSE	20.2	20230831	10	7.21e+08	20230906	12	11	7.86e+10	Pool A	3	Illumina NovaSeq X Plus	European badger	Terrestrial	Carnivora	Meles meles	Vermivore-Carnivore	4.6	58.70442	13.25879	2.44115	11.42515	14.17059	Animalivore	13596953	12839516	105881	105218	663	63.99	59.59	5.4	1.4	39.8	12.5	40.9	12.8	87.2	12.8	0	0.01	0	9027	FALSE	FALSE	FALSE	19	202	8.652e+09	1.7719296e+13
MS_020	NMS	20230120	1995.144	Meles meles	 3/155	male		1995			Balerno				20230629	0.014	FALSE	23.6	20230831	10	5.41e+08	20230906	12	11	9.29e+10	Pool A	3	Illumina NovaSeq X Plus	European badger	Terrestrial	Carnivora	Meles meles	Vermivore-Carnivore	4.6	58.70442	13.25879	2.44115	11.42515	14.17059	Animalivore	14707571	12644720	1135654	1133478	2176	68.97	71.67	6.7	8.5	29.4	10.2	45.2	20.9	79.1	20.8	0	0.07	0	9230	FALSE	FALSE	FALSE	14	236	6.492e+09	1.3295616e+13
MS_022	NMS	20230120	1995.214	Meles meles	Inverness museum 0281, Collector J. W. Lycett, Head-body length 630, Tail 110, HF (hind foot length) 100, weight 12.8 kg, NH 161 913 Badger 2/394	female		1988					 		20230629	0.015	FALSE	20.4	20230831	10	5.38e+08	20230906	12	11	9.91e+10	Pool A	3	Illumina NovaSeq X Plus	European badger	Terrestrial	Carnivora	Meles meles	Vermivore-Carnivore	4.6	58.70442	13.25879	2.44115	11.42515	14.17059	Animalivore	13776540	12285204	833205	831769	1436	65.04	73.97	4.3	1.4	41	14.1	39.2	15.6	84.4	15.5	0	0.04	0	8904	FALSE	FALSE	FALSE	15	204	6.456e+09	1.3221888e+13
MS_025	NMS	20230124	1896.62	Ovis aries	 			<1940							20230713	0.006	FALSE	0.638	20230719	20	11400000		NA	NA	NA		NA		Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	6	12.76	NA	NA
MS_029	NMS	20230124	1886.55.2	Ovis aries	 			<1940						Probably too little	20230713	0.014	FALSE	8.16	20230719	20	39100000	20230920_remainder	12	11	4.23e+10	Pool B	2	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	11801908	8409667	20086	19099	987	44.94	44.6	6.8	4.6	22.3	21.5	44.8	15.2	84.8	15.1	0	0	0	7043	FALSE	FALSE	FALSE	14	163.2	469200000	960921600000
MS_032	NMS	20230124	1929.40.134	Ovis aries	Manx Ram 			<1940							20230713	0.022	FALSE	14.6	20230719	20	4.11e+08	20230920_remainder	12	11	1.06e+11	Pool A	2	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	478059	429874	4183	4128	55	53.74	55.7	1.3	7.4	32.3	32.9	26.1	18	82	17.9	0.1	0.02	0	2725	FALSE	FALSE	FALSE	22	292	4.932e+09	1.0100736e+13
MS_034	NMS	20230124	1822.19	Tapirus indicus	 										20230609	0.023	FALSE	3.82	20230620	20	234000	20230622	18	11	1400000		NA		Malayan tapir	Terrestrial	Perissodactyla	Tapirus indicus	Browser-Grazer	4.7	10.12341	3.73429	21.99719	7.64161	56.50351	Frugivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	23	76.4	4212000	8626176000
MS_035	NMS	20230124	1820.8	Tapirus indicus	donor: Lady Hastings 				India						20230609	0.024	TRUE	1.48	20230620	20	28100	20230622	18	11	1320000		NA		Malayan tapir	Terrestrial	Perissodactyla	Tapirus indicus	Browser-Grazer	4.7	10.12341	3.73429	21.99719	7.64161	56.50351	Frugivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	24	29.6	505800	1035878400
MS_038	NMS	20230125	1996.83.2	Dugong dugon	 S.Hal.d.1						Knox			not sure this is calculus and not discolouration	20230607	0.006	FALSE	0.312	20230612	20	263000	20230616	18	10	1.92e+09	Pool C	4	Illumina NovaSeq X Plus	Dugong	Aquatic	Sirenia	Dugong dugon	Browser-Grazer	4.9	15.66575	2.67402	16.13874	10.42347	55.09804	Frugivore	1130770	961406	5079	1096	3983	51.53	57.67	3.2	2.1	1.1	5.2	88.4	4.8	95.2	4.6	0	0.17	0	2344	FALSE	FALSE	FALSE	6	6.24	4734000	4847616000
MS_039	NMS	20230125	1886.16.3	Dugong dugon	 									not sure this is calculus and not discolouration	20230607	0.011	FALSE	0.964	20230612	20	2200000	20230616	18	10	4.42e+09	Pool C	4	Illumina NovaSeq X Plus	Dugong	Aquatic	Sirenia	Dugong dugon	Browser-Grazer	4.9	15.66575	2.67402	16.13874	10.42347	55.09804	Frugivore	3166306	2925981	18631	12689	5942	65.3	60.37	3.1	2.4	4.1	7.4	83	7.7	92.3	7.6	0	0.06	0	6073	FALSE	FALSE	FALSE	11	19.28	39600000	40550400000
MS_051	NMS	20230127	2003.160.329	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT OP262	male	70 months 	2002	Scotland	St. Kilda	Hirta				20230713	0.015	FALSE	9.37	20230719	20	93200000	20230920_remainder	12	11	8.3e+09	Pool C	4	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	1650	1443	27	24	3	52.86	69.19	0	0	0	0	100	17.3	82.7	17.2	0	0.07	0	40	FALSE	FALSE	FALSE	15	187.4	1118400000	2290483200000
MS_053	NMS	20230127	2003.160.335	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT YB130	male	83 months 	2002	Scotland	St. Kilda	Hirta				20230713	0.015	FALSE	5.83	20230719	20	1.01e+08	20230920_remainder	12	11	4.58e+10	Pool A	3	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	3658	2471	52	52	0	43.85	51.88	NA	NA	NA	NA	NA	16.8	83.2	16.7	0	0	0	41	FALSE	FALSE	FALSE	15	116.6	1.212e+09	2.482176e+12
MS_055	NMS	20230127	2003.160.476	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AA043	male	47 months 	1999	Scotland	St. Kilda	Hirta				20230723	0.02	TRUE	7.8	20230809	4	1300000	20230907	12	14	267000		NA		Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	20	31.2	15600000	255590400000
MS_057	NMS	20230127	2003.160.647	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT OP187	male	55 months 	1996	Scotland	St. Kilda	Hirta		dark; coal-like		20230723	0.017	FALSE	5.38	20230727	20	2.76e+08	20230905	12	11	6.42e+08	Pool D	5	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	1715904	1182115	44651	44037	614	43.22	43.18	4.3	8.6	29.3	30.9	26.9	7.8	92.2	7.7	0	0.01	0	4446	FALSE	FALSE	FALSE	17	107.6	3.312e+09	6.782976e+12
MS_058	NMS	20230127	2003.160.1061	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT YR242	male	35 months 	1999	Scotland	St. Kilda	Hirta				20230723	0.018	FALSE	7.73	20230831	10	1100000	20230920_remainder	12	11	1.88e+09	Pool C	4	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	180	128	18	18	0	73	63.89	NA	NA	NA	NA	NA	10.2	89.8	9.4	0	0.78	0	5	FALSE	FALSE	FALSE	18	77.3	13200000	27033600000
MS_060	NMS	20230127	1996.83.6	Dugong dugon	 S.Hal.d.3/108										20230609	0.014	FALSE	0.255	20230613	20	256000	20230616	18	10	3.46e+09	Pool C	4	Illumina NovaSeq X Plus	Dugong	Aquatic	Sirenia	Dugong dugon	Browser-Grazer	4.9	15.66575	2.67402	16.13874	10.42347	55.09804	Frugivore	1403553	1098584	2615	524	2091	46.62	48.77	0	1	1.2	4.1	93.7	2.9	97.1	2.8	0	0.05	0	2227	FALSE	FALSE	FALSE	14	5.1	4608000	4718592000
MS_062	NMS	20230127	1891.55.10	Dugong dugon	 										20230609	0.014	FALSE	1.76	20230613	20	897000	20230616	18	10	1.29e+10	Pool B	3	Illumina NovaSeq X Plus	Dugong	Aquatic	Sirenia	Dugong dugon	Browser-Grazer	4.9	15.66575	2.67402	16.13874	10.42347	55.09804	Frugivore	4135080	3744231	4880	3959	921	60.3	51.83	2.1	0.9	10.6	6	80.4	7.4	92.6	7.3	0.1	0.04	0	4667	FALSE	FALSE	FALSE	14	35.2	16146000	16533504000
MS_063	NMS	20230127	1996.83.3	Dugong dugon	Presented by Sir Wyrille Thomson S.Hal.d.4					Queensland					20230613	0.02	FALSE	13.6	20230619	20	14400000	20230621	18	12	4.06e+10	Pool B	2	Illumina NovaSeq X Plus	Dugong	Aquatic	Sirenia	Dugong dugon	Browser-Grazer	4.9	15.66575	2.67402	16.13874	10.42347	55.09804	Frugivore	4406020	4092757	4168	3293	875	57.32	51.47	2.1	1.8	11	15.6	69.5	13.9	86.1	13.8	0.1	0.01	0	5957	FALSE	FALSE	FALSE	20	272	259200000	1061683200000
MS_091	NMS	20230503	2003.160.419	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT YY549	female	108 months 	2002	Scotland	St. Kilda	Hirta				20230719	0.013	TRUE	2.85	20230801	10	6.5e+07	20230905	12	11	1.08e+10	Pool C	4	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	3183692	2749261	48880	48284	596	52.77	53.11	5.3	5.3	27.2	27	35.1	22.4	77.6	22.4	0	0.01	0	5657	FALSE	FALSE	FALSE	13	28.5	7.8e+08	1.59744e+12
MS_092	NMS	20230503	2003.160.421	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT YY557	female	107 months 	2002	Scotland	St. Kilda	Hirta				20230723	0.015	TRUE	8.57	20230727	20	3.32e+08	20230905	12	11	3.17e+08	Pool D	5	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	1718795	1269334	32657	31981	676	44.25	45.67	6	6.5	31.9	30.3	25.3	14.2	85.8	14.2	0	0.01	0	4258	FALSE	FALSE	FALSE	15	171.4	3.984e+09	8.159232e+12
MS_093	NMS	20230503	2003.160.423	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT YY563	female	105 months 	2002	Scotland	St. Kilda	Hirta				20230723	0.019	TRUE	3.82	20230727	20	86300000	20230905	12	11	330000		NA		Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	19	76.4	1035600000	2120908800000
MS_094	NMS	20230503	2003.160.272	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AY096	male	23 months 	2002	Scotland	St. Kilda	Hirta				20230723	0.016	FALSE	3.54	20230727	20	267000		NA	NA	NA		NA		Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	16	70.8	NA	NA
MS_095	NMS	20230503	2003.160.296	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AY171	male	23 months 	2002	Scotland	St. Kilda	Hirta				20230814	0.018	TRUE	8.06	20230821	5	1.73e+08	20230908	12	11	1.29e+09	Pool C	4	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	1075749	393163	560205	559249	956	48.1	54.52	6.3	7.3	33.3	32.5	20.7	24.5	75.5	24	0	0.4	0	1523	FALSE	FALSE	FALSE	18	40.3	2.076e+09	4.251648e+12
MS_096	NMS	20230503	2003.160.280	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AY120	male	23 months 	2002	Scotland	St. Kilda	Hirta				20230814	0.021	TRUE	5.88	20230821	10	1.63e+08	20230908	12	11	1.6e+10	Pool B	3	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	7594350	5801774	417191	409825	7366	56.63	54.45	10	10.4	22.2	25	32.5	24.9	75.1	24.8	0	0.04	0	7136	FALSE	FALSE	FALSE	21	58.8	1.956e+09	4.005888e+12
MS_097	NMS	20230503	2003.160.284	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AY129	male	23 months 	2002	Scotland	St. Kilda	Hirta				20230801	0.017	TRUE	4.07	20230810	10	17200000	20230908	12	11	4e+05		NA		Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	17	40.7	206400000	422707200000
MS_098	NMS	20230503	2003.160.042	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AO062	male	11 months 	2002	Scotland	St. Kilda	Hirta				20230801	0.016	TRUE	9.34	20230810	10	4470000	20230908	12	11	133000		NA		Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	16	93.4	53640000	109854720000
MS_099	NMS	20230503	2003.160.274	Ovis aries	Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AY100	male	24 months 	2002	Scotland	St. Kilda	Hirta				20230801	0.013	FALSE	1.94	20230810	20	4.95e+08	20230908	12	11	8.81e+08	Pool D	5	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	1308528	752670	107430	106906	524	41.55	45.95	4.6	5.6	36.4	32.6	20.8	14.2	85.9	14.1	0	0.02	0	2585	FALSE	FALSE	FALSE	13	38.8	5.94e+09	1.216512e+13
